"CITY","SEX","IDADE","CANAL_VENDA","CATEGORIA","PRODUTO","PRECO","QUANTIDADE","DESCONTO_APLICADO","RENDA_ESTIMADA","ESCOLARIDADE_SCORE","ESCOLARIDADE_ROTULADA","SEASONAL_EFFECT","DATA_VENDA","ANOS","MESES","DIA_SEMANA","VALOR_TOTAL"
"MARITUBA","MASCULINO",30,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",65.33,3,0.12260174007155,1.37,0.54,"ENS MÉDIO COMP",4.352,2024-11-07,2024,11,5,748.38
"ANANINDEUA","FEMININO",16,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",196.5,2,0.055027819937095,2.37,0.63,"ENS MÉDIO COMP",1.5,2018-01-27,2018,1,7,557.06
"BENEVIDES","FEMININO",26,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",202.58,2,0.228494773432612,2.04,0.63,"ENS MÉDIO COMP",2.8875,2019-07-06,2019,7,7,902.58
"ANANINDEUA","FEMININO",47,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",345.55,1,0.135541132502258,2.16,0.63,"ENS MÉDIO COMP",3.375,2020-02-15,2020,2,7,1008.16
"BELÉM","FEMININO",51,"LOJA FÍSICA","ROUPAS","VESTIDO FLORAL FEMININO",258.77,1,0.0630744732031599,2.39,0.72,"ENS SUPER INCOMP",2.275,2019-01-25,2019,1,6,551.57
"ANANINDEUA","MASCULINO",27,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",104.23,1,0.161973901372403,2.64,0.5,"ENS MÉDIO INCOMP",4.68,2024-02-16,2024,2,6,408.79
"ANANINDEUA","FEMININO",36,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",137.04,1,0.10195426821243,2.79,0.7,"ENS SUPER INCOMP",1.89,2016-10-22,2016,10,7,232.6
"MARITUBA","FEMININO",36,"LOJA FÍSICA","ELETRÔNICOS","SMARTPHONE PREMIUM",5047.17,1,0.149961265046149,2.57,0.68,"ENS SUPER INCOMP",3.7125,2022-05-01,2022,5,1,15927.7
"BELÉM","FEMININO",31,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",302.72,2,0.138224806995131,3.39,0.74,"ENS SUPER INCOMP",4.21875,2023-04-05,2023,4,4,2201.15
"BELÉM","FEMININO",34,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",61.73,3,0.109748376528732,2.91,0.67,"ENS MÉDIO COMP",0.42,2015-06-18,2015,6,5,69.24
"BELÉM","FEMININO",34,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",386.14,2,0.217848515417427,3.08,0.64,"ENS MÉDIO COMP",2.07,2021-12-15,2021,12,4,1250.36
"BELÉM","MASCULINO",30,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",82.83,2,0.0906870609102771,3.13,0.49,"ENS MÉDIO INCOMP",1.76,2021-07-29,2021,7,5,265.12
"BELÉM","FEMININO",36,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",230.75,1,0.168751264316961,3.18,0.71,"ENS SUPER INCOMP",3.75,2020-04-13,2020,4,2,719.29
"BELÉM","MASCULINO",32,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",181.58,2,0.20316835581325,2.74,0.7,"ENS SUPER INCOMP",4.2,2024-06-25,2024,6,3,1215.38
"BELÉM","FEMININO",16,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",220.74,1,0.0629848401201889,2.78,0.74,"ENS SUPER INCOMP",0.75,2015-04-06,2015,4,2,155.13
"BELÉM","FEMININO",47,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",146.51,1,0.160998406307772,2.48,0.73,"ENS SUPER INCOMP",4.125,2023-07-18,2023,7,3,507.05
"BELÉM","FEMININO",62,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",251.37,2,0.139028170392849,3.4,0.6,"ENS MÉDIO COMP",4,2024-04-18,2024,4,5,1731.38
"ANANINDEUA","FEMININO",27,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",279.74,1,0.207981605455279,2.45,0.69,"ENS SUPER INCOMP",5.22,2023-09-04,2023,9,2,1156.54
"ANANINDEUA","MASCULINO",68,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",237.46,1,0.109320117300376,2.45,0.63,"ENS MÉDIO COMP",0.69,2015-12-14,2015,12,2,145.94
"BELÉM","FEMININO",40,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",100.53,2,0.143121423386037,3.24,0.71,"ENS SUPER INCOMP",1.125,2018-04-25,2018,4,4,193.82
"BELÉM","FEMININO",75,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",122.77,3,0.182306110020727,2.69,0.73,"ENS SUPER INCOMP",1.632,2017-11-23,2017,11,5,491.5
"BELÉM","MASCULINO",49,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",322.85,1,0.203958237497136,3,0.56,"ENS MÉDIO COMP",1.044,2018-09-12,2018,9,4,268.31
"BELÉM","MASCULINO",50,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",130.57,3,0.141439540940337,2.85,0.61,"ENS MÉDIO COMP",2.4375,2017-04-07,2017,4,6,819.75
"BELÉM","FEMININO",24,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",215.57,1,0.0430904473597184,3,0.73,"ENS SUPER INCOMP",1.16,2016-09-06,2016,9,3,239.29
"BELÉM","MASCULINO",35,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",82.68,1,0.210001784190536,3.12,0.54,"ENS MÉDIO COMP",1.2,2016-08-15,2016,8,2,78.38
"ANANINDEUA","FEMININO",20,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",52.87,3,0.123057835362852,1.97,0.73,"ENS SUPER INCOMP",1.265,2018-12-23,2018,12,1,175.95
"ANANINDEUA","FEMININO",60,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",236.25,1,0.187509495345876,2.31,0.76,"ENS SUPER COMP",3,2021-01-02,2021,1,7,575.85
"BELÉM","FEMININO",50,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",327.15,1,0.046739194910042,2.81,0.79,"ENS SUPER COMP",4.29,2025-07-07,2025,7,2,1337.88
"MARITUBA","MASCULINO",24,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",104.48,1,0.0756640057545155,1.44,0.62,"ENS MÉDIO COMP",2.244,2017-11-26,2017,11,1,216.71
"ANANINDEUA","FEMININO",32,"LOJA FÍSICA","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",100.96,1,0.122135914508253,3,0.58,"ENS MÉDIO COMP",2.1875,2019-04-23,2019,4,3,193.88
"ANANINDEUA","FEMININO",32,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",88.6,1,0.0405176510289311,2.81,0.67,"ENS MÉDIO COMP",4.05,2020-05-11,2020,5,2,344.29
"BELÉM","FEMININO",26,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",136.16,1,0.129086541598663,3.21,0.63,"ENS MÉDIO COMP",3.25,2021-04-09,2021,4,6,385.4
"BELÉM","FEMININO",19,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",109.17,2,0.0636147914454341,3.88,0.64,"ENS MÉDIO COMP",1.496,2018-11-11,2018,11,1,305.86
"BELÉM","FEMININO",43,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",173.38,3,0.063349096570164,3.51,0.72,"ENS SUPER INCOMP",2.925,2025-01-15,2025,1,4,1425.03
"BELÉM","MASCULINO",51,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",39.6,5,0.123652177047916,3.34,0.57,"ENS MÉDIO COMP",2.42,2021-07-18,2021,7,1,419.91
"BELÉM","FEMININO",30,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",57.61,1,0.119537195782177,2.75,0.65,"ENS MÉDIO COMP",3.25,2022-01-28,2022,1,6,164.85
"BELÉM","MASCULINO",68,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",48.74,4,0.19750498640351,2.91,0.72,"ENS SUPER INCOMP",2.07,2017-12-04,2017,12,2,323.86
"ANANINDEUA","MASCULINO",15,"ONLINE","LIVROS","BEST-SELLER DE FICÇÃO",74.77,1,0.188570319861174,1.93,0.42,"ENS MÉDIO INCOMP",2.73,2021-06-11,2021,6,6,165.63
"MARITUBA","MASCULINO",26,"LOJA FÍSICA","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",235.18,1,0.132748888614587,2.66,0.58,"ENS MÉDIO COMP",0.675,2015-02-21,2015,2,7,137.67
"ANANINDEUA","FEMININO",16,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",200.83,1,0.0488704591058195,1.95,0.67,"ENS MÉDIO COMP",2.475,2020-07-08,2020,7,4,472.76
"ANANINDEUA","FEMININO",30,"REVENDEDOR","BRINQUEDOS","BONECA COLECIONÁVEL",147.95,1,0.0221115933544934,2,0.67,"ENS MÉDIO COMP",4.05,2023-02-27,2023,2,2,585.95
"BELÉM","FEMININO",69,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",41.9,2,0.113361517572775,2.98,0.77,"ENS SUPER COMP",7.0875,2023-10-14,2023,10,7,526.6
"MARITUBA","FEMININO",41,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",396.93,1,0.0793058689776808,2.07,0.64,"ENS MÉDIO COMP",0.42,2015-06-25,2015,6,5,153.49
"BELÉM","MASCULINO",34,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",3831.73,1,0.128461117157713,3.79,0.53,"ENS MÉDIO COMP",2.7,2022-02-28,2022,2,2,9016.65
"BELÉM","FEMININO",26,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",81.47,2,0.0128995542554185,3.26,0.65,"ENS MÉDIO COMP",2.3625,2019-02-16,2019,2,7,379.98
"BELÉM","FEMININO",25,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",48.62,4,0.147245909003541,2.34,0.65,"ENS MÉDIO COMP",0.42,2015-06-11,2015,6,5,69.65
"BELÉM","FEMININO",72,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",193.51,2,0.117958773402497,2.97,0.82,"ENS SUPER COMP",3.96,2024-07-17,2024,7,4,1351.82
"BELÉM","FEMININO",58,"LOJA FÍSICA","ROUPAS","VESTIDO FLORAL FEMININO",216.34,1,0.030399586558342,2.53,0.74,"ENS SUPER INCOMP",1.89,2019-05-16,2019,5,5,396.45
"BELÉM","FEMININO",34,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",44.19,3,0.0870082374708727,3.04,0.76,"ENS SUPER COMP",1.386,2016-10-16,2016,10,1,167.75
"ANANINDEUA","MASCULINO",32,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",4545.48,1,0.192109502120875,2.32,0.58,"ENS MÉDIO COMP",2.4,2021-08-09,2021,8,2,8813.4
"BELÉM","MASCULINO",60,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",189.55,1,0.17378566628322,3.38,0.61,"ENS MÉDIO COMP",2.0625,2017-04-09,2017,4,1,323.01
"BELÉM","MASCULINO",50,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",136.83,2,0.141609345022589,3.36,0.64,"ENS MÉDIO COMP",2.6325,2017-05-19,2017,5,6,618.39
"BELÉM","MASCULINO",50,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",71.19,3,0.223470421601087,3.69,0.58,"ENS MÉDIO COMP",1.74,2018-09-01,2018,9,7,288.57
"BELÉM","MASCULINO",30,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",53.83,2,0.0717609771993011,3.1,0.65,"ENS MÉDIO COMP",4.68,2024-02-16,2024,2,6,467.69
"BENEVIDES","MASCULINO",50,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",44.41,2,0.167704557548277,2.03,0.52,"ENS MÉDIO COMP",2.0125,2019-03-26,2019,3,3,148.77
"BELÉM","FEMININO",60,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",136.33,1,0.192702034674585,3.01,0.67,"ENS MÉDIO COMP",1.6875,2017-04-05,2017,4,4,185.72
"MARITUBA","FEMININO",27,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",131.17,1,0.0637801509723067,1.8,0.59,"ENS MÉDIO COMP",2.75,2020-08-16,2020,8,1,337.71
"BELÉM","FEMININO",27,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",96.12,2,0.249146685795859,3.23,0.7,"ENS SUPER INCOMP",3.15,2022-10-18,2022,10,3,454.68
"ANANINDEUA","MASCULINO",25,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",291.52,2,0.188319102209061,1.64,0.54,"ENS MÉDIO COMP",3.45,2022-03-28,2022,3,2,1632.69
"BELÉM","FEMININO",22,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",149.53,1,0.067441710755229,3.18,0.67,"ENS MÉDIO COMP",3.978,2025-11-19,2025,11,4,554.71
"ANANINDEUA","FEMININO",20,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",201.29,1,0.0750189846381545,2.13,0.61,"ENS MÉDIO COMP",0.6075,2015-05-27,2015,5,4,113.11
"BELÉM","FEMININO",41,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",250.9,1,0.225660756789148,2.96,0.73,"ENS SUPER INCOMP",1.76,2021-07-01,2021,7,5,341.94
"BENEVIDES","MASCULINO",26,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",65.41,1,0.125886234873906,2.31,0.5,"ENS MÉDIO INCOMP",2.75,2020-07-07,2020,7,3,157.23
"BELÉM","FEMININO",36,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",244.09,1,0.145882456144318,3.23,0.6,"ENS MÉDIO COMP",5.60625,2023-03-17,2023,3,6,1168.8
"BELÉM","FEMININO",20,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",131.14,3,0.0149232245516032,2.9,0.72,"ENS SUPER INCOMP",2.25,2020-08-05,2020,8,4,871.99
"BELÉM","FEMININO",65,"REVENDEDOR","ROUPAS","CALÇA JEANS MASCULINA",302.5,1,0.0719326784415171,2.61,0.78,"ENS SUPER COMP",2.415,2019-12-30,2019,12,2,677.99
"BELÉM","FEMININO",33,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",108.23,1,0.125595145532861,2.99,0.72,"ENS SUPER INCOMP",2.5,2020-04-16,2020,4,5,236.59
"BENEVIDES","FEMININO",63,"REVENDEDOR","ROUPAS","CALÇA JEANS MASCULINA",235.05,1,0.127841065302491,1.86,0.71,"ENS SUPER INCOMP",1.61,2019-12-19,2019,12,5,330.05
"BELÉM","FEMININO",60,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",52.72,2,0.0223189646424726,2.92,0.6,"ENS MÉDIO COMP",1.875,2017-04-11,2017,4,3,193.29
"BELÉM","FEMININO",35,"REVENDEDOR","LIVROS","BEST-SELLER DE FICÇÃO",62.4,1,0.196534433821216,3.09,0.77,"ENS SUPER COMP",3.2175,2025-07-16,2025,7,4,161.31
"BELÉM","MASCULINO",30,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",57.93,1,0.0267864718707278,3.19,0.57,"ENS MÉDIO COMP",4.3125,2023-12-12,2023,12,3,243.13
"BENEVIDES","MASCULINO",36,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",47.75,1,0.0831566995708272,1.99,0.57,"ENS MÉDIO COMP",0.81,2018-02-21,2018,2,4,35.46
"BELÉM","FEMININO",24,"REVENDEDOR","LIVROS","LIVRO TÉCNICO/ACADÊMICO",143.42,1,0.0238539700768888,3.13,0.69,"ENS SUPER INCOMP",0.55,2015-07-07,2015,7,3,77
"BELÉM","MASCULINO",41,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",541.75,1,0.0618493565823883,3.37,0.6,"ENS MÉDIO COMP",2.75,2022-08-07,2022,8,1,1397.67
"ANANINDEUA","MASCULINO",35,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",61.73,2,0.169054990736768,2.73,0.59,"ENS MÉDIO COMP",1.8,2017-01-23,2017,1,2,184.66
"BELÉM","FEMININO",69,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",163.1,1,0.0540736620593816,2.86,0.76,"ENS SUPER COMP",0.495,2015-02-08,2015,2,1,76.37
"ANANINDEUA","MASCULINO",32,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",117.71,2,0.214202085835859,2.27,0.64,"ENS MÉDIO COMP",1.008,2016-10-06,2016,10,5,186.47
"BELÉM","MASCULINO",29,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",90.45,1,0.235112832346931,2.56,0.6,"ENS MÉDIO COMP",6.5,2024-04-12,2024,4,6,449.7
"BENEVIDES","MASCULINO",61,"REVENDEDOR","ROUPAS","VESTIDO FLORAL FEMININO",232.73,1,0.191767445579171,1.52,0.58,"ENS MÉDIO COMP",6.528,2024-11-18,2024,11,2,1227.92
"ANANINDEUA","FEMININO",50,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",114.57,2,0.089728035191074,1.95,0.75,"ENS SUPER INCOMP",1.265,2016-12-04,2016,12,1,263.85
"ANANINDEUA","MASCULINO",41,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",113.29,1,0.171314964210615,2.25,0.56,"ENS MÉDIO COMP",1.47,2019-06-20,2019,6,5,138.01
"BELÉM","FEMININO",49,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",253.62,1,0.0834267528634518,3.19,0.71,"ENS SUPER INCOMP",5.28125,2025-04-04,2025,4,6,1227.69
"BELÉM","FEMININO",40,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",163.72,3,0.100007862695493,3.21,0.74,"ENS SUPER INCOMP",3.2175,2025-02-09,2025,2,1,1422.26
"BELÉM","MASCULINO",34,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",183.86,1,0.0659235630184412,3.15,0.49,"ENS MÉDIO INCOMP",0.5,2015-08-25,2015,8,3,85.87
"BELÉM","MASCULINO",26,"LOJA FÍSICA","ROUPAS","VESTIDO FLORAL FEMININO",175.97,2,0.0652195544773713,3.46,0.61,"ENS MÉDIO COMP",3.15,2022-06-06,2022,6,2,1036.31
"MARITUBA","MASCULINO",26,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",5618.9,1,0.20144643606618,2.61,0.58,"ENS MÉDIO COMP",3,2023-01-26,2023,1,5,13460.98
"ANANINDEUA","MASCULINO",32,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",5072.35,2,0.0205113631905988,2.57,0.57,"ENS MÉDIO COMP",1.21,2018-07-08,2018,7,1,12023.31
"BELÉM","FEMININO",28,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",204.1,2,0.126044591981918,3.48,0.67,"ENS MÉDIO COMP",1.375,2018-04-08,2018,4,1,490.53
"BELÉM","MASCULINO",42,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",40.39,2,0.104231566051021,3.26,0.63,"ENS MÉDIO COMP",5.11875,2023-06-30,2023,6,6,370.39
"BELÉM","MASCULINO",20,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",3787.43,1,0.233184127463028,3.04,0.6,"ENS MÉDIO COMP",1.15,2016-03-08,2016,3,3,3339.9
"BENEVIDES","MASCULINO",51,"REVENDEDOR","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",366.72,1,0.168613307941705,2.1,0.53,"ENS MÉDIO COMP",0.87,2015-09-12,2015,9,7,265.25
"BELÉM","FEMININO",29,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",183.47,1,0.206522376975045,2.78,0.7,"ENS SUPER INCOMP",1.32,2017-07-20,2017,7,5,192.16
"BELÉM","FEMININO",31,"LOJA FÍSICA","ELETRÔNICOS","SMARTPHONE PREMIUM",4840.29,1,0.147918487326242,3.08,0.75,"ENS SUPER INCOMP",2.75,2021-04-04,2021,4,1,11341.88
"ANANINDEUA","FEMININO",40,"REVENDEDOR","ROUPAS","VESTIDO FLORAL FEMININO",318.6,1,0.0839498301176354,2.8,0.63,"ENS MÉDIO COMP",4.032,2024-10-10,2024,10,5,1176.75
"BELÉM","MASCULINO",31,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",98.66,3,0.0643066661432385,3.05,0.6,"ENS MÉDIO COMP",2.2425,2017-12-22,2017,12,6,621.05
"ANANINDEUA","MASCULINO",31,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",201,2,0.167847639508545,1.85,0.57,"ENS MÉDIO COMP",0.567,2015-10-14,2015,10,4,189.68
"BELÉM","MASCULINO",28,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",5864.78,1,0.0860514487558976,3.26,0.54,"ENS MÉDIO COMP",1.512,2017-10-26,2017,10,5,8104.48
"BELÉM","FEMININO",42,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",4674.07,1,0.048438769755885,2.83,0.65,"ENS MÉDIO COMP",5.15625,2023-04-30,2023,4,1,22933.27
"BELÉM","FEMININO",72,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",303.9,2,0.0141260317200795,2.62,0.77,"ENS SUPER COMP",0.495,2015-07-15,2015,7,4,296.61
"BELÉM","FEMININO",35,"REVENDEDOR","ROUPAS","VESTIDO FLORAL FEMININO",206.05,1,0.118105044257827,3.45,0.66,"ENS MÉDIO COMP",2.875,2022-12-06,2022,12,3,522.43
"BELÉM","FEMININO",62,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",116.53,1,0.0630344261834398,2.58,0.76,"ENS SUPER COMP",5.98,2024-03-08,2024,3,6,652.92
"BELÉM","MASCULINO",52,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",294.96,1,0.104359083520249,3.25,0.58,"ENS MÉDIO COMP",3.8025,2025-02-21,2025,2,6,1004.54
"BELÉM","FEMININO",15,"REVENDEDOR","LIVROS","LIVRO TÉCNICO/ACADÊMICO",193.94,2,0.0750575377326459,3.07,0.7,"ENS SUPER INCOMP",8.16,2024-11-23,2024,11,7,2927.54
"BELÉM","FEMININO",24,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",113.57,1,0.155661472864449,3.23,0.72,"ENS SUPER INCOMP",1.62,2017-05-04,2017,5,5,155.34
"BELÉM","FEMININO",51,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",174.86,1,0.101306246402673,2.96,0.69,"ENS SUPER INCOMP",5.67,2023-10-02,2023,10,2,891.02
"BELÉM","MASCULINO",42,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",135.71,1,0.136894069518894,4,0.55,"ENS MÉDIO COMP",3.045,2019-09-28,2019,9,7,356.67
"BELÉM","FEMININO",57,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",277.06,1,0.147297040848061,2.48,0.73,"ENS SUPER INCOMP",4.11125,2025-12-07,2025,12,1,971.28
"BELÉM","MASCULINO",73,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",57.37,3,0.088078953884542,3.04,0.67,"ENS MÉDIO COMP",2.415,2019-12-09,2019,12,2,379.04
"BELÉM","FEMININO",41,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",333.87,1,0.0313369562476873,3.19,0.72,"ENS SUPER INCOMP",2.5875,2017-12-09,2017,12,7,836.82
"MARITUBA","MASCULINO",38,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",90.2,2,0.194166740775108,2.49,0.5,"ENS MÉDIO INCOMP",2.835,2020-10-21,2020,10,4,412.13
"BELÉM","FEMININO",28,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",47.63,3,0.0740547022782266,2.37,0.62,"ENS MÉDIO COMP",1.508,2016-09-09,2016,9,6,199.52
"ANANINDEUA","FEMININO",23,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",4257.56,1,0.157386130746454,2.48,0.66,"ENS MÉDIO COMP",1.08,2018-02-26,2018,2,2,3874.48
"BELÉM","MASCULINO",69,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",33.51,3,0.0770386474207044,2.86,0.72,"ENS SUPER INCOMP",1.392,2017-09-28,2017,9,5,129.16
"BELÉM","FEMININO",27,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",132.07,1,0.191850083414465,3.04,0.7,"ENS SUPER INCOMP",3.9325,2025-07-06,2025,7,1,419.73
"BELÉM","FEMININO",26,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",281.52,1,0.0251802472677082,3.45,0.77,"ENS SUPER COMP",0.756,2015-10-19,2015,10,2,207.47
"ANANINDEUA","MASCULINO",44,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",52.44,2,0.189502967819572,2.36,0.56,"ENS MÉDIO COMP",3.2,2024-01-11,2024,1,5,272.02
"BELÉM","FEMININO",55,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",128.25,2,0.0808946084417403,2.62,0.64,"ENS MÉDIO COMP",3.25,2020-08-07,2020,8,6,766.19
"BELÉM","MASCULINO",65,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",283.6,1,0.0952120732050389,2.96,0.57,"ENS MÉDIO COMP",1.0125,2015-05-09,2015,5,7,259.81
"BELÉM","MASCULINO",23,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",41.56,3,0.0612895449157804,3.1,0.69,"ENS SUPER INCOMP",2.552,2021-09-12,2021,9,1,298.68
"ANANINDEUA","MASCULINO",28,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",200.27,1,0.225630871159956,1.69,0.64,"ENS MÉDIO COMP",1.62,2017-02-13,2017,2,2,251.23
"ANANINDEUA","FEMININO",32,"LOJA FÍSICA","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",50.61,3,0.0208898054994643,2.61,0.61,"ENS MÉDIO COMP",3.45,2022-12-12,2022,12,2,512.87
"ANANINDEUA","MASCULINO",49,"LOJA FÍSICA","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",100.56,1,0.104192479695193,2.52,0.69,"ENS SUPER INCOMP",0.464,2015-09-24,2015,9,5,41.8
"BELÉM","FEMININO",27,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",4412.38,1,0.16932583055459,2.97,0.67,"ENS MÉDIO COMP",2.0125,2019-12-10,2019,12,3,7376.32
